Team,Manager,Founded,Website,Stadium_capacity
Atalanta,Gasperini Gian Piero,1907,https://www.atalanta.it/site.html,26562
Bologna,Mihajlovic Sinisa,1909,https://www.bolognafc.it/,38279
Cagliari,Mazzarri Walter,1919,http://www.cagliaricalcio.com/,16000
Empoli,Andreazzoli Aurelio,1920,http://www.empolicalcio.net/,16800
Fiorentina,Italiano Vincenzo,1926,http://it.violachannel.tv/,47290
Genoa,Schevchenko Andriy,1893,http://genoacfc.it/,36599
Inter,Inzaghi Simone,1908,http://www.inter.it/,81277
Juventus,Allegri Massimiliano,1897,http://www.juventus.com/,41475
Lazio,Sarri Maurizio,1900,http://www.sslazio.it/it/,72698
Milan,Pioli Stefano,1899,http://www.acmilan.com/it,81277
Napoli,Spalletti Luciano,1925,http://www.sscnapoli.it/,60240
Roma,Mourinho Josè,1927,http://www.asroma.com/it,72698
Salernitana,Colantuono Stefano,1918,https://www.ussalernitana1919.it/,26000
Sampdoria,D'Aversa Roberto,1946,http://www.sampdoria.it/,36599
Sassuolo,Dionisi Alessio,1922,http://www.sassuolocalcio.it/,23717
Spezia,Thiago Motta,1904,https://www.acspezia.com/,10336
Torino,Juric Ivan,1905,http://www.torinofc.it/,28140
Udinese,Gotti Luca,1896,http://www.udinese.it/,25000
Venezia,Zanetti Paolo,1906,https://www.veneziafc.it/,7389
Verona,Tudor Igor,1903,http://www.hellasverona.it/,39371
